         15965678 function calls (15963447 primitive calls) in 6.718 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:120(_WindowsFlavour)
       56    0.000    0.000    0.000    0.000 linalg.py:193(_assert_stacked_2d)
        2    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
       59    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       34    0.000    0.000    0.000    0.000 platform.py:825(uname)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       35    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       48    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        9    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
