434
11906
         23381207 function calls (23378973 primitive calls) in 28.024 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       64    0.000    0.000    0.000    0.000 enum.py:670(__new__)
       53    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      472    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.000    0.000 random.py:101(Random)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:234(contextmanager)
       37    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
       48    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       10    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
    36/26    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       11    0.000    0.000    0.000    0.000 abc.py:110(register)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 random.py:117(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 random.py:126(seed)
      298    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      325    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:971(__or__)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
       34    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      165    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       28    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       77    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
      283    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
    22/12    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
      143    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f19769c6940}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       47    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.000    0.000 threading.py:1307(__init__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       46    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        2    0.000    0.000    0.000    0.000 enum.py:928(_missing_)
        2    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
      130    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      201    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
      114    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
      133    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
        9    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
        8    0.000    0.000    0.000    0.000 core.py:8098(__init__)
      343    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
